"geoip.country_name.keyword: Descending","DestPort: Descending",Count
"United States",3379,42
"United States",3380,42
"United States",3381,42
"United States",1577,39
"United States",1813,39
"The Netherlands",3128,14
"The Netherlands",30029,7
"The Netherlands",34567,7
"The Netherlands",12002,4
"The Netherlands",12061,4
China,22,46
China,23,13
China,49155,8
China,9080,7
China,10333,7
Canada,7999,19
Canada,8728,19
Canada,37215,19
Canada,55593,15
Canada,53433,13
Germany,4145,19
Germany,24785,17
Germany,3128,15
Germany,22,12
Germany,8888,6
