IP,Maliciosos,Sospechosos,Último_Análisis,País,ASN,ISP,Categorías,Enlace
89.248.165.133,11,3,"2025-06-16 16:59:20",NL,202425,"IP Volume inc","",https://www.virustotal.com/gui/ip-address/89.248.165.133
89.248.163.83,11,3,"2025-06-01 00:15:20",NL,202425,"IP Volume inc","",https://www.virustotal.com/gui/ip-address/89.248.163.83
1.95.78.10,4,0,"2025-06-15 13:00:25",CN,55990,"Huawei Cloud Service data center","",https://www.virustotal.com/gui/ip-address/1.95.78.10
89.248.163.57,7,3,"2025-06-13 01:23:18",NL,202425,"IP Volume inc","",https://www.virustotal.com/gui/ip-address/89.248.163.57
89.248.163.218,14,1,"2025-06-03 23:03:39",NL,202425,"IP Volume inc","",https://www.virustotal.com/gui/ip-address/89.248.163.218
143.110.142.48,7,4,"2025-06-06 13:51:28",US,14061,"DIGITALOCEAN-ASN","",https://www.virustotal.com/gui/ip-address/143.110.142.48
149.40.50.205,4,1,"2025-06-13 17:55:39",US,212238,"Datacamp Limited","",https://www.virustotal.com/gui/ip-address/149.40.50.205
146.70.212.85,1,0,"2025-02-07 12:42:04",US,9009,"M247 Europe SRL","",https://www.virustotal.com/gui/ip-address/146.70.212.85
185.91.127.81,11,2,"2025-06-18 11:06:20",DE,49581,"Tube-Hosting","",https://www.virustotal.com/gui/ip-address/185.91.127.81
134.122.78.78,6,3,"2025-06-17 00:20:22",DE,14061,"DIGITALOCEAN-ASN","",https://www.virustotal.com/gui/ip-address/134.122.78.78
